lause;form
Šanghais käis nimelt visiidil kõige kõrgem Taiwani ametnik , kes kunagi Hiinas käinud .;Šanghais
Klaveriklassis käib töö laste muusikakooli programmi järgi .;Klaveriklassis
Miks mullu käis reservõp-pekogunemistel nii vähe kaitseliitlasi ?;reservõp-pekogunemistel
Pereleheküljel käime külas erinevates kodudes , anname nõu , kuidas last kasvatada ja arendada , teavitame põnevatest huvialaringidest ja kogu-pere-üritustest .;Pereleheküljel
Tallinna linnaplaneerimisameti planeeringute osakonna juhataja Martti Preemi sõnul on 15 aastaga pealinnast uusasumitesse lahkunud 17 000 elanikust suurem osa läinud Viimsisse .;uusasumitesse
Newsted osales kuue Metallica albumi koostamisel , mida on maailmas tänaseks müüdud üle 55 miljoni eksemplari , käis koos ansambliga mitmel maailmaturneel ja tegi kaasa kokku üle 1000 esinemise .;maailmaturneel
CORPUS CHRISTI , 15. veebruar ( AP-EPLO ) - Advokaat , keda USA asepresident Dick Cheney nädalavahetusel kogemata jahikäigul tulistas , sai teisipäeval kerge infarkti , kuna üks teda tabanud haavlitest liikus südamesse .;haavlitest
Paar kuud pärast 160 inimelu nõudnud rongipõlengut käib Austria suusakuurordis Kaprunis pidu nagu muiste .;suusakuurordis
Varem on Ühispangast Tallinki omanikfirmasse Infortari liikunud SEB juhatuse sekretär Kitty Nõvandi , SEB Balti IT-juht Tõnu Liik ja panga finantsdirektor Ülo Suurkask .;Infortari
""" Käisime vastase ohtlikele pommitajatele varem peale , sundisime neid kaugemalt viskama .";pommitajatele
""" Iga on juba selline , et kui platsile ei saa , siis tuleb suvel midagi ette võtta , "" ei välista Norra Stavangeri Vikingi huviorbiidis olnud ja Valerengas testimisel käinud kaitsja klubivahetust .";Valerengas
Kas Rautatientorile ehitatud spetsiaalsel 730-meetrisel vormelirajal istub rooli Jarno Trulli , Ralf Schumacher , Ricardo Zonta või Olivier Panis , pole praegu veel teada .;vormelirajal
"Jätkuvat majanduskriisi põdevast Moldovast olevat kümne aasta jooksul lahkunud ligi miljon inimest , kusjuures suur osa nendestki võib olla "" haltuuratööl "" või suisa orjuses Vene suurlinnades .";Moldovast
Ja üllatus-üllatus : sel laupäevaõhtul istub Barbaras vähem inimesi , kui on pillimehi ansamblis MTJ , kes mängib laval rahvalikke lugusid .;Barbaras
Viimase kolme päeva jooksul Eesti ja Soome piirivalve koos-töös teostatud seirelendude tulemusel on võimalik järeldada , et reostus liigub piirkonnas umbes seitsme kuni kaheksa meremiili raadiuses .;raadiuses
Riideski käid sa teistmoodi kui teised : kas särad liiga palju või käid matkariietes .;matkariietes
Kui enne lüpsis peremees masinaga tunniga oma loomad ära , siis nüüd käib naabrinaine Männiku perenaisel abiks käsitsi lüpsmas ning kahekesi kulub paar tundi .;perenaisel
Koolitüdrukud käivad Tatjanal abiks loomade lakka kammimas ja nende jalgealust kasimas .;Tatjanal
Toomas Berendsen jooksis Weinheimis 100 meetrit 11,0 ga ja hüppas kaugust 7.14.;Weinheimis
Keskkonnaministeeriumi kiirguse ja õhu talituse juhataja Juhan Saar ütles , et keskkonnafondile käib Estelile raha andmine üle jõu .;keskkonnafondile
1993 : Rühkis Suure slämmi turniiridel Austraalias , Prantsusmaal ja Wimbledonis veerandfinaali , ent lahkus avaringi kaotuse järel USAs võistluskarussellilt .;võistluskarussellilt
Linna piirest välja jõudnud , istusid röövlid koos ekskavaatorijuhiga Ladasse , sõidutasid ta Kolomenskoje metroojaama ja ajasid autost välja .;Ladasse
Joogikontsernist ASist Ösel lahkunud Olari Taal peab oma järgmiseks missiooniks aidata Eesti vanimal järjepidevalt tegutseval poliitilisel ühendusel Res Publical üles ehitada üleriigilist poliitilist organisatsiooni , kirjutab ÄP Online .;Joogikontsernist
Ema kartis , et jookseb meelehärduses lapse juurest liiga ruttu minema .;meelehärduses
Edasi liigub ta majutuskeskusse , kus on garanteeritud tõlketeenistus , arstiabi , haridussüsteem ja juriidiline nõustamine .;majutuskeskusse
Siis on kohe näha , kes käib purskkaevusid šampoonitamas .;šampoonitamas
1999. aastal asutas Kalev Kurg koos Julianuse Inkassost lahkunud Leedu päritolu Vladas Radvilaviciusega firma Total Inkasso .;Inkassost
""" Uues infosüsteemis liigub info koos patsiendiga - igas raviasutuses , kuhu patsient pöördub , on info teda juba ootamas , "" kirjeldas "" Tervishoiuprojekti 2015 "" IT-konsultant Henrik Aavik .";infosüsteemis
Praegu käib ettevõtte majandustulemuste arvutamine vastavalt Leedu raamatupidamisstandarditele , teatas firma infoteenistus .;raamatupidamisstandarditele
See kuri Pärnu ranna liiva sees mõjub sedavõrd ohtliku ja tundmatuna , et Kivõli naine , kes endale liivasiili jalga astus , nõudis kohe bioloogilist ekspertiisi , et ega teda lisaks tehtud valule ometi mõnda tundmatusse tõppe või viirusesse nakatatud ole .;liivasiili
Ma ei pea siinkohal silmas mitte ainult rindemehi , kes 1944.aastal Eesti Vabariigi presidendi kohusetäitja Jüri Uluotsa üleskutsel relva haarasid ja vaenlasele vastu astusid , vaid ka lootusetus võitluses Eesti metsades langenud mehi ja naisi , vastupanuliikumises ühel või teisel perioodil osalejaid , koolinoorte salaorganisatsioonide liikmeid , Hirvepargis , Balti ketis ja 1991.aasta augustil barrikaadidel seisjaid , aga ka iga eesti meest ja naist , kes raskele survele vaatamata hoidis eesti keelt ja meelt ning andis järeltulevale põlvele edasi unistuse vabast ja iseseisvast Eestist .;vaenlasele
Põhja-Afganistanis käivad ägedad lahingud Talebani ja Põhjaalliansi vägede vahel , samas kui Pakistanis protesteerivad inimesed valitsuse USA-meelse poliitika vastu .;Põhja-Afganistanis
"Selle arusaama rõhutamiseks ütles prohvet Muhamed sõjast naasvatele jüngritele "" Täna astusime väikesest džihaadist suurde džihaadi , "" mõeldes sellega sõjategevuse lõppu ja rahumeelse eneseparandamise ja enesekontrolli võitluse algust .";džihaadist
Noole näopilt on läbi käinud ootuspärase teekonna väljaannete esikülgedelt tootereklaami ja tagasi .;esikülgedelt
Jeltsin on üle aastakümnete esimene Venemaa liider , kes lahkus võidupäeval pealinnast .;võidupäeval
Rapla kiirabi viis Rapla maakonnahaiglasse juhi kõrval istunud alkoholijoobes Rene ( s. 1978 ) , kes pärast esmaabi osutamist lasti kodusele ravile .;maakonnahaiglasse
Toulouse'i tuikuv krahv astub Sweetmani käsitluses sajandilõpu peamiste kultuurispasmidega nii sünkroonset sammu , et rohkem kui üks kord kerkib küsimus : mis eristas teda meinstriimist ?;käsitluses
Sellisest hinnatõusust tulenev toimetulekutoetuse suurem väljamaksmine ei käi Eesti riigieelarvele kindlasti üle jõu , sest majanduse edenedes suurenevad ju ka eelarvelaekumised .;riigieelarvele
Puukooli juhataja Alvar Peterson kinnitab , et rootslased on puukoolis käinud küll , uurinud ja kiitnud seda .;puukoolis
Rahvusvahelisele tantsupäevale pühendatud tantsuetendusel astuvad sel pühapäeval Ugalas lavale Eesti tuntumad balletiartistid , kirjutab Sakala .;tantsuetendusel
Istusin sel ajal hoopis Pioneeride palees Kalju Reiteli skulptuuriringis .;skulptuuriringis
""" Käisin korduvalt kopteripardalt otse reaktoripütti vaatamas .";kopteripardalt
( Mäletate seda peseupulbrireklaami , kus ämm istub noorpere abieluvoodil ja pärib minialt aru pere kulutuste kohta pesupulbrile ? );abieluvoodil
Nii tuli ta 7. mai õhtul kauplusesse Kevad , kust võttis kaks pakki Marlboro sigarette ja kõndis müüjate takistamispüüetele vaatamata minema .;takistamispüüetele
SR-il pole korraldajat , inimesed käivad koos fanatismist .;fanatismist
Ettevõtlik tütarlaps ise on end juba kavaleri kodukandi kooli nimekirja sättinud ja käis paari päeva eest Kaagverest omi asju ära toomas .;Kaagverest
Juulis-augustis käib rästik sageli jahil , et nuumata end sügiseks ja talveks .;Juulis-augustis
Hinnanguliselt liigub piletimüügis sularaha üle 300 miljoni krooni aastas .;piletimüügis
Samuti ootab teisipäeval allkirjastamist ratifitseerimiskiri , mis käib isikuandmete automatiseeritud töötlemisel isikukaitse konventsiooni kohta .;töötlemisel
""" Aga vahel oli laev nädal aega viltu ja vööris magajatel käis laine kogu aja vastu nina . """;magajatel
Lahi initsiatiivil käib fondis praegu ka jooksev inventuur .;fondis
Politsei korrapidaja sõnul käis kiirabi narkosõltuvuses Raivot turgutamas , sest ilmselt tekkisid tal uuest uimastiannusest ilmajäämise tõttu krambid .;narkosõltuvuses
Statistika järgi käib internetileheküljel  ligi kuus miljonit huvilist kuus .;internetileheküljel
""" Eks me ise peame ka vaatama , et me herilasepessa ei astuks .";herilasepessa
Paralleele võib tuua Eestis vähetuntud , kuid maailmas oma ala üheks turuliidriks peetava firmaga Playtech , millel on Tartus ligi 200-pealine IT-meeskond - nende käe all jookseb suur hulk maailma edukaimatest internetikasiinodest .;internetikasiinodest
""" Korralikult hööveldatud laudadest , et keegi enesele pindu tagumikku ei istuks . """;tagumikku
Maimik : Ma käisin ühel oma punkarist sõbral EÕM-is külas ja Olari Elts sõimas mind läbi .;punkarist
"Meeldejääv "" Mehed koju ! "" , kus kõrtsist väljuv Robert Gutmani mängitud mees ka koerale helkuri kaela paneb , on tele-eetris käinud neljal sügisel .";tele-eetris
Istume Kloostri Aida seinaorvas , rüüpame õlut , küsin lihtsaid inimlikke küsimusi , et asi päris mägedesse ei läheks ja ma aru saaksin , missugune Debelakk inimesena on .;seinaorvas
Res Publica meediajuhi Siim Männiku sõnul lahkus Ivanov kiirustas koosolekult seda farsiks nimetades ning asus meediale intervjuud andma , väites et Iljini jätkamine on Reformierakonna ultimatiivne nõue Tallinna koalitsiooni jätkamiseks .;kiirustas
Samal ajal , kui Rotermanni arhitektuurimuuseumis avati Mudistit aastatest 1970-2005 , käis Kunstihoones ümarlauaarutelu maalikunsti retseptsioonist Eestis .;retseptsioonist
Lahkun Jefreyst .;Jefreyst
"; Sepa üheks jüngriks-õpilaseks oli Alliksaar , hiljem liikusid hääletades Lätimaale Ipikule ( Ööbikule ? ) , Eesti piiri külje alla , kus Sepp aastakümneid paikselt elas , meie ärksamate koolilaste kolonnid nagu palverändurid , said seal mõneks ajaks kosti ja peavarju .";Lätimaale
Läinud aastal lahkus Nuutmann MTG-st .;MTG-st
""" Saulius on juba turismiministeeriumis briifingul käinud ja saanud juhised , kuidas eestlaste ühekuulised viisad kahekuulisteks pikendada , "" nentis Riga .";briifingul
Gennadi Matrossov , Eesti NSV Julgeoleku Komitee 4. osakonna õhuliikluse eriolukordade kuraator , oli Eestist ainuke kagebiit , kes istus 3. mai õhtul Tallinnas erilennukile JAK-40 , et lennata otse katastroofipaika .;erilennukile
Alul käis perekoolis joogatundides , siis loengutes .;joogatundides
Matusetalituse järel liigub sark suurtükilafetil aupataljoni ja politseieskordi saatel Pärnamäe krematooriumisse .;krematooriumisse
Jooksu esimesel poolel liikusid teravaimalt Williams-Darling ja hooaja edetabelijuht Sanya Richards ( USA ) .;teravaimalt
Käisime veel Anne Osvetiga kuldkalale tere ütlemas ning üliarvutiseeritud istungitesaali külastamas .;kuldkalale
CANBERRA , 22. veebruar ( Reuters-EPLO ) - Austraalia teatas Iraagis teenivate vägede 50protsendilisest isikkoosseisu suurendamisest , öeldes , et 450 uut sõdurit hakkavad kaitsma Jaapani insenere ning treenima Iraagi armeed pärast seda , kui Hollandi sõdurid Lõuna-Iraagist lahkuvad .;Lõuna-Iraagist
Aleksander Tammert ( pildil ) astus College Stationis kevadesse karjääri paremuselt teise kettakaarega - Eesti rekordist vaid 31 cm nõrgem 67.10 viis maailma hooaja edetabelis kolmandaks .;paremuselt
Samas ei tohiks unustada , et tegelikult on firma enda huvides , et töötaja , kellesse nad ehk aastaid ( täiend ) koolituse näol on investeerinud ning kes oma tööd hästi tunneb , neil tulevikus käest ei libiseks ning hoopis omal soovil parematele jahi-maadele ei lahkuks .;jahi-maadele
Sama käib odaviskes Jana Trakmanni kohta , kes sai eile kirja 48.12 ( B-norm 59.00 ) .;odaviskes
Kajak sõnas , et käib küll vahetevahel saalis vehklemistreeningul , kuid seda rohkem oma lõbuks .;vehklemistreeningul
Kriitika kõrval jäi mainimata , et jutt käib ainult etiketist ja mitte tootest .;etiketist
Aga kui jutt käib NATO võimalikust laienemisest Balti riikidesse , siis vaadatakse seda vaid ühe poole seisukohast , jättes tähelepanuta Venemaa enda julgeoleku taseme .;laienemisest
Tapetud juutide arvu ei oska keegi öelda , sest tänu Hizbollah' võitlejatele lahkusid Iisraeli okupatsiooniväed Liibanonist .;võitlejatele
Loodame , et detailplaneering liigub kooskõlastusringil nüüd kiiremini , kuna aastaid veniv planeerimine ei võimalda kaitsta linna huve ning takistab ka eraomanikke ehitamast , tuues kaasa veel säilinud väärtuslike majade hävinemise .;kooskõlastusringil
Oopkauba sõnul on tööde tõttu Virtsu sadamas häiritud nii Saaremaa praamiliiklus kui ka sadama peamise kliendi , Euroopasse killustikku tarniva Nordkalk ASi tegevus , mõlema puhul käis töö terve juuni vähendatud võimsusel .;võimsusel
"; Nõudlus Kuuba sigarite järele on pakkumisest alati suurem olnud ja turul on alati ka võlts-kuubalasi liikunud -võltskarpides , valede sigarilintidega ja valede seerianumbritega .";võltskarpides
Sarnaselt plaadimängijatega käib mikroskoopilise otsaga nõel üle molekulide , võimaldades arvutil luua neist kolmemõõtmelise kaardi .;nõel
Täna õhtul astuvad LHV ning tema töötajad Oliver Peek ja Kristjan Lepik USA-s kohtu ette süüdistatuna teabevarguses ning sellega 100 miljoni krooni ebaseadusliku tulu teenimises USA börsidel .;teabevarguses
Üleeile hilisõhtul istus Tai eri paigus netifoorumis kümmekond inimest , otsides vahetult pärast võimsat maavärinat paaniliselt teavet tsunamiohu kohta .;netifoorumis
Mehel , kes käib pidevalt ärikomandeeringutes , on ka enne olnud armuafääre , naine on neile läbi sõrmede vaadanud , kuid nüüd asi tõsisem .;ärikomandeeringutes
""" Võistkond on meil päris esinduslik , sest 11 maletajast , kelle reiting on kõrgem kui 2400 , istuvad laua taha kaheksa .";maletajast
Norra suusakoondise hooldetiimist lahkunud spetsialisti soovisid appi ka tippsuusatajast vend Markus , üks Kesk-Euroopa ja üks Põhjamaa võistkond .;hooldetiimist
Tänavatel liigub politsei koos laste turvalisuse tagamisele spetsialiseerunud sotsiaaltöötajaga ning lapsevanemat võidakse kohtulikult karistada , kui ta nende ettekirjutust ei järgi .;tagamisele
Hispaania poolel , kümnekilomeetrisel Melilla piirijoonel patrullis sel ööl vaid 42 piirivalvurit , Maroko piirkaitsjad käisid oma vahipostidel , kuidas juhtub .;vahipostidel
Tibbets lahkus õhuväest brigaadikindralina 1966. aastal .;õhuväest
Numbriteisaldusega on Bravocomist lahkunud 17 klienti;Bravocomist
Kui toetuse kättesaanud lastekollektiiv jookseb oma uuel koolistaadionil , ei tea lapsed ( ega sageli ka lapsevanemad ) , mis rahal nad jooksevad .;koolistaadionil
Käisin sissejuhatuseks oma hea sõbra , ärikoolitaja Marju Undi ärikursusel ja hakkasin tegelema moega .;ärikursusel
Lindilt ei olnud näha meest , küll aga paistis , et kasti kaas avanes ja rahad korjanduskastis liikusid .;korjanduskastis
Raidma on UNDAC-i liikmena seni käinud kahel missioonil - 2001. aastal Siberis Leena üleujutusel ja samal aastal Turkmeenias Afganistanile humanitaarabikoridori loomisel .;üleujutusel
Covic on juba kolmas presidentuuri liige , kes on saanud karistada või rahuvahelise surve tõttu ametis lahkunud alates rahujärelevalveorgani asutamisest pärast Daytoni lepinguga lõppenud 1992.-1995. aastani kestnud Bosnia sõda .;asutamisest
Head võimalused Touril sõita on Pütsepal , kes astus mullusel Vueltal sadulast kõigest neli etappi enne lõppu .;Vueltal
Erakonnas euroteemal jah-poolele astunud juhatuse liikmed olid aga valmis leppele alla kirjutama .;jah-poolele
Golberg jooksis eile ka Eesti 4x100 m teatemeeskonnas , kes oli finaalis Eesti rekordit kordava 39,69 -ga viies .;teatemeeskonnas
Rapla peatreeneripingile on hooaja jooksul istunud Jaak Salumets .;peatreeneripingile
Tema sõnul käivad Spacecomil ja Eesti Raudteel juba kolmveerand aastat vaidlused küll tariifide , küll lepingute ning veomahtude üle .;Spacecomil
05.03.2003 kella 15.30 ajal Sakala ja Kentmanni tänava ristikul astus vales kohas sõiduteele Lende ( s. 1932 ) , kes sai löögi sõiduautolt Mazda , mida juhtis Helen ( s. 1975 ) .;ristikul
“ Ta käis meil külas ja nägi rõõmuga , et mõisahoones käib elu , ” kõneles giid .;mõisahoones
Oma ringkäigul Valgamaale käis kultuuriminister Urmas Paet ka Taheva ja Valga lastekodudes .;ringkäigul
Käisin napsipoes ja uurisin kaua aega likööride riiulit .;napsipoes
Keemiapreemia sai Jaapani Kanazawa ülikooli teadlane Yukio Hirose , kes uuris , miks linnud ei istu ühele pronks-skulptuurile .;pronks-skulptuurile
Tuleb siiski märkida , et 60% Rootsi väliskaubandusest käib muudes valuutades kui euro ning rohkem kui pool rootslaste välisreisidest tehakse maadesse , mis ei kuulu eurotsooni .;valuutades
"Meditsiinilise heategevusorganisatsiooni Merlin esindaja Geoff Prescott ütles Raadio Vaba Euroopale , et selliste relvade mõju vastu võitlemine käib ülejõu nii rahvusvahelistele abiorganisatsioonidele kui Iraagi tervishoiusüsteemile : "" Meditsiiniliselt on see äärmiselt keerukas kompleks , kus tuleb tegeleda bioloogilise , keemia- ja võib-olla ka tuumarelvaga .";abiorganisatsioonidele
Ma olen mitu korda käinud Maldiividel ja see on siiani minu jaoks kõige fantastilisem koht .;Maldiividel
16-aastane Helen tunnistab , et auhinna pälvinud kostüümi kandis ta juba aasta eest halloweeni tähistades , samuti on ta sellega käinud Potteri filmi linastustel .;linastustel
Töötu abiraha aeg on tema jaoks ammu möödas , nüüd käib ta sealt sotsiaal-ametisse oma töötuse kohta tõendit toomas .;sotsiaal-ametisse
Eriti meeldisid mulle rohked võõrsõ-nad , mida ma muidu ei salli , aga sellesse tragöödiasse istusid oivaliselt kui sild antiikaega .;tragöödiasse
Tegelikult võib näiteks inglise kirjanduses jälgida sel perioodil kirjanduskangelaste vaheldumist : kuni 1760. aastateni oli tähelepanu Ameerika indiaanlastel , J. Cooki merereisidega lisandusid polüneeslased ja aafriklased astusid kirjanduslavale suuresti 1770. aastatel seoses abolitsionismi levikuga .;kirjanduslavale
Erkile käis selline kiirus üle jõu .;Erkile
Edgar Lambi isa on laulumees , peres moodustub koguni kvartett , kes käib seltsipidudel laulmas .;seltsipidudel
Emerson istus oma peiduurkas ampullide ja süstlakuhja otsas ega võtnud tema kätt vastu .;peiduurkas
Tõnu Tamm ütles , et esimese hooga tuleb tal meelde 14 Leigol üles astuvat Järvit , mis on äärmiselt tähelepanuväärne , sest maailmas pole just palju suguvõsasid , kus nõnda paljud klassikalisse muusikasse süvenenud .;Leigol
24. mail Riias peetava Eurovisiooni lauluvõistluse uus režissöör on rootslane Sven Stojanovic , kes istus tänavu ka Rootsi eurolaulu valimise saadete lavastajapuldis .;lavastajapuldis
Valga Maret-Sport/Kalevi koosseisu kuulunud noorsportlastest koguni viis astusid autasustamisel pjedestaali kõige kõrgemale astmele .;autasustamisel
Renoveeritaval müüriosal käib täna lõppviimistlus .;müüriosal
Viimati käis Venemaa liidritest UKs riigiviisil tsaar Aleksandr II .;riigiviisil
Tüdruk istus kušetile ja me ajasime juttu .;kušetile
"Kuid siis , kui ruumis jälle nägema hakkas , oli kõik kõige tavalisem ; lautomängija asemel oli laval seekord küll isa Isidor , kuid sellega võis ju põhimõtteliselt ka harjuda , nad istusid üksteise vastu litsutuna kõval puulaual ning hoidsid higistamist oodates õhus pidulikku vaikust , igaühel olid omad mõtted .";puulaual
Vaielda pole mõtet - ju ma siis astusin pimeduses liikudes mõnele taimele .;taimele
Sest mille muuga kui sulaselge ettevaatamatusega seda siis ikka seletada , et Roopalu Jaak lausa päise päeva ajal keset küla NKVD-meestele peaaegu sülle jooksis .;NKVD-meestele
Käisime Tshempionsoniga paisjärves granaatidega kala püüdmas .;paisjärves
Pärast käisin intris meie omasid vaatamas .;intris
Käisime Pavkaga Tretjakovkas .;Tretjakovkas
Käisime Moskva suurimates kaubamajades GUM-is ja TSUM-is , aga loomulikult me ei ostnud midagi , imetlesime arhitektuuri .;GUM-is
Istub muudkui taksojuhtide kotletibaaris VDNH metroojaama kõrval ning teeb , nagu lahendaks ristsõnu .;kotletibaaris
Kui last kodus polnud , istus karu kapinurgal , nööpsilmad ei pilkunud .;kapinurgal
Algas see muidugi kõige elementaarsemast , mitte selliselt , et seda teevad ka birds and bees , nagu ingliskeelses seksiõpetuses käivat .;seksiõpetuses
Nad istusid kõrvuti pingil oma maja ees nõlvaias , kust avanes kaunis vaade öisele kõrbele , mida valgustasid sajad ja sajad gaasitunglad .;nõlvaias
Tõusis ning astus , jalad harkis , ukse ette kaitseseisangusse .;kaitseseisangusse
Raigo , muuseas , käis seeaeg Susannale pinda , et võiks teise lapse ette võtta .;Susannale
Timo istus basseiniäärel , sulistas vees jalgu ja tegi näo , nagu oleks minu jutust huvitatud .;basseiniäärel
Inga istus üksinda Sofia Ivanovna euroopalikult kujundatud luksusköögis ega saanud lahti veidrast süütundest , et ajalugu ja saatus on Sigridile sündimisest peale liiga teinud ja nüüd on veel ka tema , Inga Velmer , saanud uue ajaloopöörde julmaks tööriistaks .;luksusköögis
Kuid selgemini hakkas see mu mõttes tinisema just nimelt Siberis ekspeditsioonil olles , täpsemalt ühel tähisel ja ebamaisel ööl , kui ma istusin koos Veronikaga meie männi all seal kaljusopkal ja ta laskis mind endale ligi . . .;kaljusopkal
""" Näiteks Egiptuses käisime püramiide vaatamas , Hiinas mungakloostris , Ecuadoris energiamäe juures .";mungakloostris
Nii tekitaski minu teade , et käisin Sankt Peterburgis psühholoogiakonverentsil , tuttavate hulgas suurt furoori , kui võrrelda minu hiljutise sõiduga Prantsusmaale , Aix-en-Provence'i .;psühholoogiakonverentsil
Sama apteegi farmatseut Laine Siiri lisas , et teinekord tulevad turistid sadamast busside kaupa apteeki ja nõnda käib päeva jooksul ravimipoes kuni 1000 klienti .;ravimipoes
Enno-Lembit Mikelsaar oli pärast Punaarmeest demobiliseerimist käinud ainult parteikoolis ning oli jõudnud lugeda marksismi klassikuid üksnes vene keeles ning sedagi napilt . .;parteikoolis
Adamsi rehabiliteeris lõplikult Rein Veidemann , kes käis tema suvekodus Valgemetsas ning laskis temast teha dokumentaalfilmi .;Valgemetsas
“ Nüüd , seltsimees Sammjus , sina sammuma sellele rongile ja sõitma Tartust ära , ” lõpetas professor Matjorin eksami , lõi paberid laual kokku , kaapis need kaante vahele ja lahkus raskel suusatajasammul oma isiklikust kabinetist .;suusatajasammul
“ Kui Ingridil tema kodus väikelinnas külas käisin , siis tuli mööda koridore hiilida ja hoiduda sellest , et äkki keegi näeb .;Ingridil
Tema ja Jõepere perenaisega koos käisite Moorasaares röövimas , temaga koos varastasite Paalipere heinaküüni tühjaks , temaga koos varastasite ka Nigula ja Õllepoe Augusti hobuse , temaga koos murdsite Vaherpõllu Jüri viljaaita sisse , temaga ja Mõrdoja vennastega koos mõrvasite ka Sudisoo metsavahi , kui ta teile põrdajahil peale sattus ning kõige viimane – ja ma usun , et see ka tõesti kõige viimaseks jääb , sest rohkem kuritegusid toime panna pole teil enam võimalik – mõrvasite Liivamäe Marie .;Moorasaares
Kadri Mälk käis Kölnis tänapäeva ehtekunsti aastasündmusel “ Ars Ornata Europeana ” , mille põhinäitus kandis nime “ Ausõna ” .;Kölnis
Kalju Kotkas ja vanaema istuvad viimasel muulikivil .;muulikivil
“ Teinekord istus Transitis üks tüdruk nö ametlikult , kaks oli peidetud pakkide ja tekkide alla , ” räägib uurimist teostav piirivalveametnik .;Transitis
Kui aga jutt käib turvavööst , uste turvataladest või turvapadjast , on vilunumadki kihutajad autotootjatega üht meelt : need asjad peavad olema ja neid tuleb kasutada .;turvavööst
Kannatlikult seletas soomlanna eesti keeles ametnikule , milline lahter käib tuberkuloosi , milline vaimuhaiguste kohta .;tuberkuloosi
"Ükskord , kui me jälle "" saalitoas "" istusime , juttu puhusime ja makilt uusi lugusid kuulasime , ulatas ta mulle paberilehe .";saalitoas
"Tol õhtul istusin "" Pegasuses "" , kus kolmapäevaõhtuti — tõesti , tõesti , oli vist kolmapäev ? !";Pegasuses
Istume kaldarinnatisele jäätis sööma .;kaldarinnatisele
"Pole ma elueas nende juures käinud , pole enne surma ka enam vaja , "" arvas ta ning sulges silmad .";elueas
"Istu siis oma sitas , "" sisistasin .";sitas
Varem käis ta teistele pruutidele peldikust helistamas , aga see oli kuulda , ja ma hakkasin ka demonstratiivselt peldikust helistamas käima , nüüd ma ei tea , kust ta neile helistab .;pruutidele
Käinud korduvalt Barcelona pornomessil ning poseerinud erootika-ajakirjadele .;pornomessil
Istusime sõpradega jõekäärus , tegime šašlõkki ja jõime õlut .;jõekäärus
Staadionile sõiduks bussi oodates astusid sportlased ABC televisioonistaapi ja nägid ... meeste 100 m jooksjaid finisheerimas !;televisioonistaapi
Guido Sammelselja  poolt juhitud Tallinna Pangast liikus raha kergekäeliselt tema äripartnerile ja onupojale Jaak Roosipuule .;äripartnerile
"Mitmetes performance'ites loodi metafoore inimelule -- näiteks  Maija Hirvanen  ja  Leena Kala  otsisid teineteist kinniseotud silmadega , käies pimesi mööda hiigelsuurt linnuse vallikraavi ;  Jüri Ojaver  kõndis keset autoteed , tähelepanu keskendunud vesiloodile , püüdes säilitada sisemist tasakaalu keset ümberringi keevat liiklust ( see töö osutus kollase ajakirjanduse tõmbenumbriks , kuigi festivalil jäi ta võimsamate esituste varju ) ; lätlane  Olegs Tilbergs  lasi toidupoe üleni suitsu täis , sest kus on õhk läbipaistmatu , sealt on kerge varastada ; Steina Vasulka , juba aastates daam , demonstreeris “ Viiuli väes ” , mida viiul võib teha -- manipuleerida videopilti ja panna näiteks oma pilli järgi tantsima kurja näoga mehe ( nimelt oli ses enamikule meeldinud etenduses viiul ühendatud arvutiga ning iga poognatõmme tõi muutuse ekraanil näha olevasse tegevusse ) .";vesiloodile
Nimelt kõndis eelmine laulja pohmas peaga mööda tänavat .;pohmas
Ilmar Laaban käis Westbergi-eraalgkoolis , hiljem reaalgümnaasiumis .;Westbergi-eraalgkoolis
Ilmar Laaban käis Westbergi-eraalgkoolis , hiljem reaalgümnaasiumis .;reaalgümnaasiumis
Kastid olnud suured ja tammepuust ja mehed käinud raamvankriga kaks korda järel .;tammepuust
Maailma moeäris liiguvad meie mastaabis tohutud rahad .;moeäris
Astume väiksesse , madalasse kalurimajakesse , mis asub kohe kalatsehhi kõrval .;kalurimajakesse
Igor Gordini  ürgse stilisatsiooniga hiigelformaadis lito “ Ohverdamine ” vastas jooksis non-stop screening'una  Kristin Kalamehe  ja  Allan Tõnissoo  ekspressionistlik tantsuvideo “ Behave in Cave ” ( kaamera Ly Lestberg ) .;hiigelformaadis
Parajasti kui ta saunatrepil istus ja oma olukorra üle mõtteid mõlgutas , tuli koplist heinaküüni poolt pikk meesterahvas ning sammus kastemärjas rohus toa poole .;saunatrepil
Kord jäi eit paariks päevaks sängi ja siis juhtusin ma poolkogemata nägema hoopis imelikku pilti : eit pikutas teki all ja Enn-Aksel istus ta jalgotsis .;jalgotsis
Ta polnud tarvitsenud seda märkida , juba kolmandat aastat ei lahkunud Marty hetkekski oma koldist .;koldist
Ja mõned neist istusid ka hooajalõpu eileõhtuses peolauas .;peolauas
Estrada astus Foogtile lähemale , võttis ta käest kinni .;Foogtile
""" Mingi paaritusmäng käib vä ? "" olin karm .";vä
“ Minu kannatustele sai kuhi pääle juba siis , kui sa minu mehega puhmastes käisid . ”;puhmastes
Istusin kaldal vedelevale autokummile ja hakkasin sööma .;autokummile
"Ta ütles : "" Istun Wilde'is koos ... ühe majanaabriga . """;Wilde'is
